# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan  6 15:15:44 2017
#
# CONSTRAINT:  where (k2c_disp like 'C%'
# CONSTRAINT:  and k2c_recentflag = 1
# CONSTRAINT:  )
#
# COLUMN epic_name:      EPIC Name
# COLUMN tm_name:        2MASS Designation
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
#
rowid,epic_name,tm_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini
1,EPIC 201126503,2MASS J11434522-0552228,EPIC 201126503.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h43m45.22s,175.938421,-05d52m22.8s,-5.873002,1.19474880,2456810.382000,0.448000,0.0804167,0.0000,,,0.06005,4.190,0.374,,,,3919.00,,,,0.57,
2,EPIC 201155177,2MASS J11463977-0510186,EPIC 201155177.01,K2-42 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h46m39.77s,176.665722,-05d10m18.9s,-5.171913,6.68796000,2456814.676300,,0.1267000,,,,3.04000,2.150,0.192,,,,4613.00,4.66,,,0.64,
4,EPIC 201176672,2MASS J11163606-0439236,EPIC 201176672.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h16m36.05s,169.150206,-04d39m23.6s,-4.656546,79.99990000,2456877.804600,,0.4896000,,,,18.00000,10.200,0.910,,,,4542.00,4.75,,,0.51,
5,EPIC 201182911,2MASS J11305050-0430273,EPIC 201182911.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h30m50.50s,172.710419,-04d30m27.4s,-4.507613,0.99656225,2456811.090000,35.500000,0.0941667,0.5300,,,0.62560,32.800,2.926,,,,3727.00,,,,0.50,
6,EPIC 201197348,2MASS J11482278-0409517,EPIC 201197348.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h48m22.79s,177.094973,-04d09m51.8s,-4.164393,14.91238100,2456825.111000,0.252000,0.1262500,0.2100,,,0.04445,3.550,0.317,,,,4224.00,,,,0.65,
7,EPIC 201205469,2MASS J11162811-0358315,EPIC 201205469.01,K2-43 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47114000,2456809.884500,,0.0821000,,,,6.60000,4.130,0.368,,,,3939.00,4.70,,,0.57,
10,EPIC 201208431,2MASS J11385895-0354202,EPIC 201208431.01,K2-4 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h38m58.95s,174.745640,-03d54m20.1s,-3.905585,10.00617969,2456815.513027,0.130000,3.0360000,,,,,,,,,,,,,,,
13,EPIC 201231940,2MASS J11362894-0328568,EPIC 201231940.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h36m28.95s,174.120612,-03d28m56.8s,-3.482449,0.57303573,2456810.511000,0.510000,0.0133333,0.3500,,,0.09028,3.350,0.299,,,,3570.00,,,,0.43,
14,EPIC 201238110,2MASS J11584943-0323218,EPIC 201238110.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h58m49.42s,179.705930,-03d23m21.8s,-3.389389,7.90696060,2456813.675000,0.280000,0.0720833,0.3400,,,0.04848,3.020,0.269,,,,3772.00,,,,0.52,
15,EPIC 201238163,2MASS J11330307-0323195,EPIC 201238163.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h33m03.07s,173.262802,-03d23m19.6s,-3.388773,1.08296140,2456810.366000,0.065500,0.0508333,0.4600,,,0.02378,1.560,0.139,,,,3875.00,,,,0.56,
16,EPIC 201239401,2MASS J11321270-0322128,EPIC 201239401.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h32m12.71s,173.052956,-03d22m12.9s,-3.370242,0.90552205,2456810.944000,0.079100,0.0550000,0.4900,,,0.02628,1.520,0.136,,,,3710.00,,,,0.50,
17,EPIC 201247497,2MASS J11514717-0314460,EPIC 201247497.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h51m47.17s,177.946552,-03d14m46.0s,-3.246116,2.75391000,2456810.903100,,0.0429000,,,,7.90000,3.780,0.337,,,,3918.00,4.85,,,0.44,
20,EPIC 201257461,2MASS J11523866-0305416,EPIC 201257461.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h52m38.67s,178.161109,-03d05m41.8s,-3.094936,50.28586900,2456828.355000,0.184000,0.5258333,0.9500,,,0.05345,3.470,0.310,,,,4859.00,,,,0.74,
21,EPIC 201264302,2MASS J11182349-0259301,EPIC 201264302.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016arXiv160306488A target=ref>Adams et al. 2016</a>,CANDIDATE,,1,1,11h18m23.52s,169.598013,-02d59m29.7s,-2.991577,0.21219400,2456812.400150,,,,83.300,3.600000,0.02710,0.770,0.069,,,,3299.00,5.11,0.155,[Fe/H],0.26,
23,EPIC 201270176,2MASS J11203183-0254093,EPIC 201270176.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h20m31.82s,170.132598,-02d54m09.3s,-2.902582,1.57771549,2456818.326995,1.823000,3.0860000,,,,,,,,,,,,,,,
25,EPIC 201270464,2MASS J11203204-0253534,EPIC 201270464.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,,,,,1.57771549,2456818.327691,0.875000,2.9930000,,,,,,,,,,,,,,,
26,EPIC 201291843,2MASS J11534099-0234182,EPIC 201291843.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h53m41.00s,178.420842,-02d34m18.4s,-2.571776,40.70206194,2456823.294921,0.536000,1.6210000,,,,,,,,,,,,,,,
27,EPIC 201295312,2MASS J11360278-0231150,EPIC 201295312.01,K2-44 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h36m02.79s,174.011630,-02d31m15.2s,-2.520881,5.65688000,2456811.717600,,0.1817000,,,,1.56000,2.720,0.243,,,,5912.00,4.10,,,1.58,
31,EPIC 201324549,2MASS J11245661-0205066,EPIC 201324549.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51881781,2456820.075966,0.215000,1.5800000,,,,,,,,,,,,,,,
36,EPIC 201338508,2MASS J11171284-0152406,EPIC 201338508.02,K2-5 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h17m12.84s,169.303502,-01d52m40.7s,-1.877976,5.73597000,2456808.860200,,0.0979000,,,,2.97000,1.500,0.134,,,,4021.00,4.82,,,0.46,
37,EPIC 201338508,2MASS J11171284-0152406,EPIC 201338508.01,K2-5 c,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h17m12.84s,169.303502,-01d52m40.7s,-1.877976,10.93240000,2456814.601200,,0.1183000,,,,3.24000,1.640,0.146,,,,4021.00,4.82,,,0.46,
38,EPIC 201345483,2MASS J11183189-0146270,EPIC 201345483.01,K2-45 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h18m31.89s,169.632879,-01d46m26.9s,-1.774130,1.72926840,2456809.526040,,0.0703800,,,,13.76000,6.710,0.599,,,,4103.00,4.82,,,0.45,
40,EPIC 201367065,2MASS J11292037-0127173,EPIC 201367065.02,K2-3 c,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,24.64350000,2456812.281100,,0.1408000,,,,2.88000,1.180,0.105,,,,3841.00,4.91,,,0.37,
43,EPIC 201367065,2MASS J11292037-0127173,EPIC 201367065.03,K2-3 d,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,44.56090000,2456826.228500,,0.1683000,,,,2.35000,0.960,0.086,,,,3841.00,4.91,,,0.37,
44,EPIC 201367065,2MASS J11292037-0127173,EPIC 201367065.01,K2-3 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,10.05176778,2456823.477669,0.145000,3.0520000,,,,,,,,,,,,,,,
49,EPIC 201384232,2MASS J11524614-0111545,EPIC 201384232.01,K2-6 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h52m46.14s,178.192260,-01d11m54.5s,-1.198477,30.93490000,2456827.513000,,0.2042000,,,,2.20000,2.500,0.220,,,,5767.00,4.40,,,1.01,
52,EPIC 201393098,2MASS J11082249-0103565,EPIC 201393098.01,K2-7 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h08m22.51s,167.093771,-01d03m56.7s,-1.065755,28.67770000,2456824.633000,,0.3067000,,,,1.77000,4.120,0.368,,,,5715.00,3.82,,,2.13,
56,EPIC 201403446,2MASS J11370392-0054262,EPIC 201403446.01,K2-46 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h37m03.92s,174.266344,-00d54m26.1s,-0.907261,19.15410000,2456815.335300,,0.2804000,,,,1.45000,2.050,0.183,,,,6256.00,4.20,,,1.29,
57,EPIC 201407812,2MASS J11361058-0050265,EPIC 201407812.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h36m10.59s,174.044145,-00d50m26.5s,-0.840699,2.82681210,2456812.488000,14.100000,0.2833333,0.8200,,,0.45600,40.100,3.577,,,,5736.00,,,,0.98,
58,EPIC 201441872,2MASS J11342409-0020047,EPIC 201441872.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h34m24.10s,173.600412,-00d20m04.5s,-0.334585,4.44164210,2456812.872000,0.014300,0.1141667,0.2500,,,0.01089,1.170,0.104,,,,5547.00,,,,0.90,
59,EPIC 201445392,2MASS J11191047-0017036,EPIC 201445392.01,K2-8 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h19m10.48s,169.793665,-00d17m03.8s,-0.284375,10.35848367,2456813.595802,0.149000,3.2630000,,,,,,,,,,,,,,,
61,EPIC 201445392,2MASS J11191047-0017036,EPIC 201445392.02,K2-8 c,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h19m10.48s,169.793665,-00d17m03.8s,-0.284375,5.06408000,2456813.072300,,0.0708000,,,,2.79000,2.440,0.218,,,,5147.00,4.56,,,0.80,
66,EPIC 201460826,2MASS J11274407-0003462,EPIC 201460826.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h27m44.08s,171.933667,-00d03m46.2s,-0.062840,17.35568100,2456816.737000,0.024300,0.3391667,0.1400,,,0.01418,1.810,0.161,,,,5894.00,,,,1.06,
67,EPIC 201465501,2MASS J11450348+0000190,EPIC 201465501.01,K2-9 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h45m03.47s,176.264468,+00d00m19.1s,0.005301,18.44740000,2456822.674400,,0.1221000,,,,11.00000,5.600,0.500,,,,4052.00,4.82,,,0.47,
70,EPIC 201488365,2MASS J11124509+0020527,EPIC 201488365.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,,,,,3.36431150,2456812.224000,35.200000,0.3083333,0.5600,,,0.62480,85.600,7.637,,,,6240.00,,,,1.32,
71,EPIC 201497682,2MASS J11154478+0029171,EPIC 201497682.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h15m44.79s,168.936641,+00d29m17.2s,0.488114,13.83781400,2456820.957000,0.066300,0.1183333,0.3500,,,0.02306,1.960,0.175,,,,4535.00,,,,0.70,
72,EPIC 201497682,2MASS J11154478+0029171,EPIC 201497682.02,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h15m44.79s,168.936641,+00d29m17.2s,0.488114,7.79915860,2456814.271000,0.042300,0.1225000,0.3100,,,0.01829,1.570,0.140,,,,4535.00,,,,0.70,
73,EPIC 201505350,2MASS J11395048+0036129,EPIC 201505350.01,K2-19 c,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h39m50.48s,174.960319,+00d36m12.9s,0.603575,11.90724000,2456817.275450,,0.1592900,,,,4.44000,4.930,0.440,,,,5748.00,4.43,,,1.01,
74,EPIC 201505350,2MASS J11395048+0036129,EPIC 201505350.03,K2-19 d,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h39m50.48s,174.960319,+00d36m12.9s,0.603575,2.50858000,2456811.428400,,0.0804000,,,,1.10000,1.220,0.109,,,,5748.00,4.43,,,1.01,
79,EPIC 201505350,2MASS J11395048+0036129,EPIC 201505350.02,K2-19 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h39m50.48s,174.960319,+00d36m12.9s,0.603575,7.91952314,2456829.222276,0.667000,3.4150000,,,,,,,,,,,,,,,
