# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jan  4 16:30:57 2017
#
# CONSTRAINT:  where (koi_pdisposition like 'CANDIDATE'
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_eccen_err1: Eccentricity Upper Unc.
# COLUMN koi_eccen_err2: Eccentricity Lower Unc.
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.488031460,2.9500000e-05,-2.9500000e-05,0,,,MCMC,3.10,1.380e+00,-3.400e-01,85.94,,,881.0,,,142.17,191.47,-43.96,1,5850.00,169.00,-198.00,4.426,0.068,-0.296,1.0400,0.4650,-0.1140,291.934230,48.141651
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.418464000,2.6860000e-04,-2.6860000e-04,0,,,MCMC,3.10,1.390e+00,-3.400e-01,89.95,,,492.0,,,13.86,18.67,-4.29,2,5850.00,169.00,-198.00,4.426,0.068,-0.296,1.0400,0.4650,-0.1140,291.934230,48.141651
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,19.899139805,5.9200000e-06,-5.9200000e-06,0,,,MCMC,3462.25,1.268e+03,-2.593e+02,80.79,,,639.0,,,39.30,42.70,-9.43,1,5853.00,165.00,-171.00,4.544,0.028,-0.265,0.8680,0.3180,-0.0650,297.004820,48.134129
4,10848459,K00754.01,,CANDIDATE,CANDIDATE,1.736952479,2.3300000e-07,-2.3300000e-07,0,,,MCMC,34.04,1.543e+01,-2.880e+00,67.61,,,1404.0,,,919.79,1266.93,-222.97,1,5795.00,174.00,-144.00,4.546,0.045,-0.292,0.8030,0.3640,-0.0680,285.534610,48.285210
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,2.525593315,3.6650000e-06,-3.6650000e-06,0,,,MCMC,2.71,1.340e+00,-2.700e-01,89.38,,,1407.0,,,926.16,1359.72,-271.56,1,6031.00,151.00,-207.00,4.438,0.053,-0.317,1.0460,0.5180,-0.1030,288.754880,48.226200
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.094319230,2.1370000e-05,-2.1370000e-05,0,,,MCMC,4.02,1.710e+00,-3.700e-01,89.38,,,835.0,,,114.81,144.85,-33.13,1,6046.00,163.00,-217.00,4.486,0.045,-0.302,0.9720,0.4140,-0.0900,296.286130,48.224670
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.134430050,1.0610000e-05,-1.0610000e-05,0,,,MCMC,3.02,1.290e+00,-2.800e-01,83.08,,,1160.0,,,427.65,539.50,-123.42,2,6046.00,163.00,-217.00,4.486,0.045,-0.302,0.9720,0.4140,-0.0900,296.286130,48.224670
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.566590920,1.5980000e-05,-1.5980000e-05,0,,,MCMC,1.56,6.600e-01,-1.500e-01,88.24,,,1360.0,,,807.74,1019.00,-233.12,3,6046.00,163.00,-217.00,4.486,0.045,-0.302,0.9720,0.4140,-0.0900,296.286130,48.224670
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.068629590,1.1600000e-05,-1.1600000e-05,0,,,MCMC,5.27,8.900e-01,-3.900e-01,89.95,,,571.0,,,25.07,13.63,-5.80,1,5126.00,160.00,-138.00,4.609,0.027,-0.106,0.7420,0.1250,-0.0550,286.999480,48.375790
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613385,1.9000000e-08,-1.9000000e-08,0,,,MCMC,12.85,2.700e-01,-2.700e-01,84.22,,,1344.0,,,772.22,60.74,-57.15,1,5850.00,50.00,-50.00,4.455,0.025,-0.025,0.9500,0.0200,-0.0200,286.808470,49.316399
