"","rowid","pl_radj","pl_bmassj","pl_rade","pl_bmasse","pl_dens","pl_orbsmax","pl_eqt","st_age","pl_discmethod","cluster","density","mass_gr","radius_cm","volume_cm3"
"1",11,1.44,13.9,16.141,4417.837,NA,156,NA,0.035,"Imaging",1,5.77305979429816,26384841000000000072088606428448,10294848000,4570339116539091189228442268826
"2",15,0.92,20.95,10.31,6657.48,NA,NA,2075,NA,"Imaging",1,33.3656259686399,39767080499999997776022622882066,6577264000,1191857768152673166922460444668
"3",28,0.17,0.02542,1.91,8.08,6.4,0.01544,NA,10.2,"Radial Velocity",2,6.41663762964362,48251989800000000824426840606,1215364000,7519824647270901676062028624
"4",48,0.199,0.05129,2.23,16.3,7.89,0.241,546,3.34,"Transit",2,8.0714619091222,97358165100000006498664860446,1422690800,12062023732028988755204804068
"5",61,2.2,17,24.66,5403,NA,440,2600,0.002,"Imaging",1,1.97997456208819,32269229999999999830446406848648,15728240000,16297800293942722766484446482866
"6",62,1.49,1.03,16.7,327.35,0.38,NA,1898,NA,"Transit",3,0.386150988764061,1955135700000000128268884226248,10652308000,5063137883597625347282220280442
"7",63,0.97,2.75,10.87,874,3.7,0.1055,600,3,"Transit",4,3.73676875359626,5220022500000000038822440604008,6934724000,1396934850457699156668440644200
"8",64,1.43,2.33,16.03,740.51,0.99,0.0436,1657,2,"Transit",4,0.988158339910677,4422782700000000489286046462224,10223356000,4475783405724018276488022262402
"9",65,1.44,0.917,16.14,291.438,0.411,0.04016,1442,6.3,"Transit",3,0.380855815206576,1740640229999999982662060400200,10294848000,4570339116539091189228442268826
"10",66,0.885,1.308,9.92,415.704,2.34,0.051,1700,1.635,"Transit",3,2.34021987630448,2482832520000000197220628200404,6327042000,1060939848062791640960664080080
"11",67,1.09,7.6,12.22,2415.4,7.3,0.027,1952,4.2,"Transit",5,7.27801305390137,14426244000000000639226060482686,7792628000,1982167920441805650460448200046
"12",68,1.17,0.535,13.11,170.032,0.44,0.0618,NA,6.73,"Transit",3,0.414261838767489,1015531650000000076186286466648,8364564000,2451424570077241207206602042682
"13",69,1.02,2.43,11.43,772.29,2.82,0.0461,1626,10.7,"Transit",4,2.83977865198626,4612601700000000409862848408646,7292184000,1624282123810514586182040820404
"14",70,1.31,3.47,14.68,1102.82,2.2,0.0295,1550,NA,"Transit",4,1.91423088734055,6586719300000001035626808248044,9365452000,3440922066172987185604600282464
"15",71,1.29,1.11,14.46,352.78,0.71,0.0518,2000,5,"Transit",3,0.641257680252971,2106990900000000176426840288264,9222468000,3285716436439105279046080066246
"16",72,1.466,3.47,16.432,1102.82,1.47,0.02798,NA,2.7,"Transit",4,1.36586034271956,6586719300000001035626808248044,10480727200,4822395887770769466026662840468
"17",73,0.84,4.24,9.42,1347.54,8.87,0.0902,1002,0.1,"Transit",4,8.87169760179546,8048325600000000866424426802042,6005328000,907191155655618425206408242800
"18",74,0.435,0.038,4.88,12.2,0.249,0.092,885,3.3,"Transit",2,0.572525134566181,72131220000000003558666668280,3109902000,125987866112910417778402640422
"19",75,1.05,2.8,11.77,889.9,3,0.048,1660,7.2,"Transit",4,2.9996381325316,5314931999999999998404606626664,7506660000,1771857725889879675206286288884
