"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"3175",3175,"MOA 2007-BLG-192L","b","Microlensing",1,NA,0.62,NA,NA,0,0,0,"18h08m03.80s",272.015825,"-27d09m00.3s",-27.150075,1000,NA,0.06,NA,"14/10/29","MOA 2007-BLG-192L b",NA,NA,NA,"Mass",0.01,3.3,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...684..663B target=ref> Bennett et al. 2008 </a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...684..663B target=ref> Bennett et al. 2008 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.13438833,4.030846,-3.387593,271.79744,-3.723362,NA,NA,NA,"",NA
"3176",3176,"MOA 2007-BLG-400L","b","Microlensing",1,NA,0.72,NA,NA,0,0,0,"18h09m41.98s",272.424917,"-29d13m27.0s",-29.224153,5800,NA,0.3,NA,"14/10/29","MOA 2007-BLG-400L b",NA,103,NA,"Mass",0.83,263.79,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...698.1826D target=ref> Dong et al. 2009 </a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...698.1826D target=ref> Dong et al. 2009 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.16166111,2.381269,-4.700741,272.127027,-5.802765,NA,NA,NA,"",NA
"3177",3177,"MOA 2008-BLG-310L","b","Microlensing",1,NA,1.25,NA,NA,0,0,0,"17h54m14.53s",268.560542,"-34d46m41.0s",-34.778053,6000,NA,0.67,NA,"14/10/29","MOA 2008-BLG-310L b",NA,NA,NA,"Mass",0.23,74,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...711..731J target=ref> Janczak et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...711..731J target=ref> Janczak et al. 2010 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",17.90403611,355.914434,-4.562487,268.794156,-11.344787,NA,NA,NA,"",NA
"3178",3178,"MOA 2008-BLG-379L","b","Microlensing",1,NA,3.3,NA,NA,0,0,0,"17h58m49.44s",269.706,"-30d11m49.0s",-30.196931,3300,NA,0.56,NA,"14/10/29","MOA 2008-BLG-379L b",NA,NA,NA,"Mass",4.1,1303,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...788...97S target=ref>Suzuki et al. 2014</a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...780..123S target=ref> Suzuki et al. 2014 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",17.9804,0.376273,-3.112864,269.744118,-6.757901,NA,NA,5,"K",NA
"3179",3179,"MOA 2009-BLG-266L","b","Microlensing",1,2774,3.2,NA,NA,0,0,0,"17h48m01.95s",267.008125,"-35d00m19.5s",-35.005411,3040,NA,0.56,NA,"14/10/29","MOA 2009-BLG-266L b",NA,NA,NA,"Mass",0.033,10.4,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011ApJ...741...22M target=ref> Muraki et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011ApJ...741...22M target=ref> Muraki et al. 2011 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",17.80054167,355.069932,-3.580897,267.498671,-11.592092,NA,NA,NA,"",NA
"3180",3180,"MOA 2009-BLG-319L","b","Microlensing",1,NA,2.4,NA,NA,0,0,0,"18h06m58.13s",271.742208,"-26d49m10.9s",-26.819692,6100,NA,0.38,NA,"14/10/29","MOA 2009-BLG-319L b",NA,NA,NA,"Mass",0.16,50,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...728..120M target=ref> Miyake et al. 2011 </a>",2010,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...728..120M target=ref> Miyake et al. 2011 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.11614722,4.202203,-3.014318,271.557486,-3.38982,NA,NA,NA,"",NA
"3181",3181,"MOA 2009-BLG-387L","b","Microlensing",1,1982,1.82,NA,52,0,0,0,"17h53m50.79s",268.461625,"-33d59m25.2s",-33.990333,5690,NA,0.19,NA,"15/6/4","MOA 2009-BLG-387L b",NA,NA,NA,"Mass",2.56,813.6448,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...529A.102B target=ref> Batista et al. 2011 </a>",2010,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...529A.102B target=ref> Batista et al. 2011 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",17.89744167,356.556406,-4.096243,268.702575,-10.557971,NA,NA,NA,"",NA
"3182",3182,"MOA 2010-BLG-073L","b","Microlensing",1,NA,1.21,NA,NA,0,0,0,"18h10m11.34s",272.547258,"-26d31m22.6s",-26.522932,2800,NA,0.16,NA,"14/5/14","MOA 2010-BLG-073L b",NA,NA,NA,"Mass",11,3496,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...763...67S target=ref> Street et al. 2013 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...763...67S target=ref> Street et al. 2013 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.1698172,4.81023,-3.501216,272.282374,-3.10382,NA,NA,NA,"",NA
"3183",3183,"MOA 2010-BLG-328L","b","Microlensing",1,NA,0.92,NA,NA,0,0,0,"17h57m59.12s",269.496333,"-30d42m54.6s",-30.715175,810,NA,0.11,NA,"15/6/4","MOA 2010-BLG-328L b",NA,NA,NA,"Mass",0.02895,9.2,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013ApJ...779...91F target=ref>Furusawa et al. 2013</a>",2013,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013ApJ...779...91F target=ref>Furusawa et al. 2013</a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",17.96642222,359.835949,-3.213775,269.563475,-7.276647,NA,NA,NA,"",NA
"3184",3184,"MOA 2010-BLG-353L","b","Microlensing",1,NA,1.72,NA,NA,0,0,0,"18h05m12.94s",271.303917,"-27d17m35.6s",-27.293233,6430,NA,0.18,NA,"16/6/9","MOA 2010-BLG-353L b",NA,NA,NA,"Mass",0.27,85.8141,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2015MNRAS.454..946R target=ref>Rattenbury et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/abs/2015MNRAS.454..946R target=ref>Rattenbury et al. 2015</a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.08692778,3.597801,-2.903537,271.161366,-3.859199,NA,NA,NA,"",NA
