"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"860",860,"KOI-142","c","Transit Timing Variations",2,22.3395,0.15525,0.05628,86.2,0,1,0,"19h24m35.54s",291.148088,"+40d40m09.9s",40.669407,339,5471,0.96,0.88,"14/5/14","KOI-142 c",46.45,NA,NA,"Mass",0.626,198.8,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...777....3N target=ref> Nesvorny et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...777....3N target=ref> Nesvorny et al. 2013 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.40987254,72.934724,11.528176,305.069566,61.558571,NA,-20.45,4.6,"G6 V",2.2
"1173",1173,"Kepler-122","f","Transit Timing Variations",5,56.268,NA,NA,NA,1,1,0,"19h24m26.85s",291.111883,"+39d56m56.8s",39.949104,NA,6050,0.99,1.22,"14/5/28","Kepler-122 f",NA,NA,NA,"Mass",0.113,36,NA,0.156,1.75,0.016,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.40745886,72.262247,11.236645,304.569193,60.879183,NA,NA,NA,"",NA
"1800",1800,"Kepler-19","c","Transit Timing Variations",2,160,NA,NA,NA,0,1,0,"19h21m41.00s",290.420839,"+37d51m06.4s",37.851786,2119,5541,0.94,0.85,"14/5/14","Kepler-19 c",NA,NA,NA,"Mass",6,1906.9,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011ApJ...743..200B target=ref> Ballard et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011ApJ...743..200B target=ref> Ballard et al. 2011 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.36138926,70.102371,10.797088,302.357598,59.018409,NA,NA,NA,"",1.9
"2229",2229,"Kepler-338","e","Transit Timing Variations",4,9.341,NA,NA,NA,1,1,0,"18h51m54.95s",282.978956,"+40d47m03.6s",40.784347,NA,5923,1.1,1.74,"14/5/28","Kepler-338 e",NA,NA,NA,"Mass",0.027,8.5,NA,0.139,1.56,0.014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",18.86526372,70.482994,17.244582,292.180654,63.227705,NA,NA,NA,"",NA
"2310",2310,"Kepler-37","e","Transit Timing Variations",4,51.196,NA,NA,NA,1,1,0,"18h56m14.32s",284.05966,"+44d31m05.3s",44.518131,66,5417,0.8,0.77,"14/5/28","Kepler-37 e",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",18.93731067,74.437098,17.843366,295.965114,66.694543,NA,-30.1,NA,"",5.66
"2407",2407,"Kepler-414","b","Transit Timing Variations",2,4.7,NA,NA,NA,1,1,0,"19h51m50.78s",297.961566,"+48d14m39.7s",48.244362,NA,NA,0.89,0.95,"14/5/28","Kepler-414 b",NA,NA,NA,"Mass",0.011,3.5,NA,0.153,1.71,0.016,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.8641044,82.062164,10.704389,322.116631,66.694997,NA,-28.2,NA,"",NA
"2408",2408,"Kepler-414","c","Transit Timing Variations",2,7.171,NA,NA,NA,1,1,0,"19h51m50.78s",297.961566,"+48d14m39.7s",48.244362,NA,NA,0.89,0.95,"14/5/28","Kepler-414 c",NA,NA,NA,"Mass",0.094,29.9,NA,0.269,3.01,0.028,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.8641044,82.062164,10.704389,322.116631,66.694997,NA,-28.2,NA,"",NA
"2409",2409,"Kepler-415","b","Transit Timing Variations",2,4.176,NA,NA,NA,1,1,0,"19h35m13.06s",293.804434,"+38d38m20.9s",38.639131,NA,NA,0.67,0.64,"14/5/28","Kepler-415 b",NA,NA,NA,"Mass",0.377,119.9,NA,0.108,1.21,0.011,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.5869623,72.036948,8.785509,307.741136,58.998908,NA,NA,NA,"",NA
"2410",2410,"Kepler-415","c","Transit Timing Variations",2,8.708,NA,NA,NA,1,1,0,"19h35m13.06s",293.804434,"+38d38m20.9s",38.639131,NA,NA,0.67,0.64,"14/5/28","Kepler-415 c",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.5869623,72.036948,8.785509,307.741136,58.998908,NA,NA,NA,"",NA
"2411",2411,"Kepler-416","b","Transit Timing Variations",2,6.319,NA,NA,NA,1,1,0,"19h26m13.67s",291.556965,"+39d13m38.2s",39.227287,NA,NA,1,1.07,"14/5/28","Kepler-416 b",NA,NA,NA,"Mass",0.183,58.2,NA,0.221,2.48,0.023,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.437131,71.757938,10.609373,304.804312,60.088457,NA,NA,NA,"",NA
"2412",2412,"Kepler-416","c","Transit Timing Variations",2,12.209,NA,NA,NA,1,1,0,"19h26m13.67s",291.556965,"+39d13m38.2s",39.227287,NA,NA,1,1.07,"14/5/28","Kepler-416 c",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...80H target=ref> Hadden et al. 2014 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.437131,71.757938,10.609373,304.804312,60.088457,NA,NA,NA,"",NA
