rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_rvamp,pl_eqt,pl_insol,pl_bmassprov,pl_bmassj,pl_bmasse,pl_dens,pl_radj,pl_rade,pl_rads,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_radv,st_sp,st_spstr,st_age
1,11 Com,b,Radial Velocity,1,326.03,1.29,0.231,,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,4742,2.7,19,14/5/14,11 Com b,302.8,,,Msini,19.4,6165.6,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>,2007,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,12.34528503,264.140892,78.280522,177.422388,18.333765,9.04,,5,K0 III,
2,11 UMi,b,Radial Velocity,1,516.22,1.54,0.08,,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,4340,1.8,24.08,14/5/14,11 UMi b,189.7,,,Msini,10.5,3337.07,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>,2009,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,15.28496908,108.718982,41.044516,141.647144,74.958184,8.37,,5.4,K4 III,1.56
3,14 And,b,Radial Velocity,1,185.84,0.83,0,,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,4813,2.2,11,14/5/14,14 And b,100,,,Msini,4.8,1525.5,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,2008,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,23.52150472,106.411558,-21.05061,11.962116,38.229937,13.09,,4.8,G8 III,
4,14 Her,b,Radial Velocity,1,1773.4,2.77,0.369,,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,5311,0.9,,14/5/14,14 Her b,90,,,Msini,4.64,1474.67,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...654..625W target=ref> Wittenmyer et al. 2007 </a>,2002,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...582..455B target=ref> Butler et al. 2003 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,16.17342021,69.170376,46.944999,223.248728,62.879798,55.11,,5,K0 V,
5,16 Cyg B,b,Radial Velocity,1,798.5,1.681,0.681,,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,5674,0.99,,15/9/10,16 Cyg B b,50.5,,,Msini,1.68,533.9544,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,1996,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1997ApJ...483..457C target=ref> Cochran et al. 1997 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,19.69777018,83.33646,13.204352,321.21805,69.468372,,-28.1,4.25,G2.5 V,
6,18 Del,b,Radial Velocity,1,993.3,2.6,0.08,,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,4979,2.3,8.5,14/5/14,18 Del b,119.4,,,Msini,10.3,3273.5,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>,2008,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,20.97387085,58.691434,-21.974824,320.591213,26.786858,13.68,,4.6,G6 III,
7,1RXS J160929.1-210524,b,Imaging,1,,330,,,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,4060,0.85,,15/4/1,1RXS J160929.1-210524 b,,1700,,Mass,8,3000,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...802...61L target=ref>Lachapelle et al. 2015</a>,2008,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...689L.153L target=ref> Lafreniere et al. 2008 </a>,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,16.15841787,352.89056,22.030427,244.365684,-0.06841,,,5.7,K7 V,0.005
8,24 Sex,b,Radial Velocity,2,452.8,1.333,0.09,,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,5098,1.54,4.9,14/5/14,24 Sex b,40,,,Msini,1.99,632.46,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,2010,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.37,,5,K0 IV,2.7
9,24 Sex,c,Radial Velocity,2,883,2.08,0.29,,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,5098,1.54,4.9,14/5/14,24 Sex c,14.5,,,Msini,0.86,273.32,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,2010,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.37,,5,K0 IV,2.7
10,2MASS J01225093-2439505,b,Imaging,1,,52,,,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,3530,0.4,,14/5/14,2MASS J01225093-2439505 b,,,,Mass,24.5,7786.5,,,,,<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>,2013,<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,1.3808162,195.448768,-82.520165,8.622413,-30.711243,,9.6,6.35,M3.5 V,0.12
