rowid,epic_candname,pl_name,k2c_disp,ra_str,ra,dec_str,dec,pl_orbper,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,st_teff,st_logg,st_metfe,st_rad
1,EPIC 201126503.01,,CANDIDATE,11h43m45.22s,175.938421,-05d52m22.8s,-5.873002,1.1947488,,,0.06005,4.19,0.374,3919,,,0.57
2,EPIC 201155177.01,K2-42 b,CONFIRMED,11h46m39.77s,176.665722,-05d10m18.9s,-5.171913,6.68796,,,3.04,2.15,0.192,4613,4.66,,0.64
4,EPIC 201176672.01,,CANDIDATE,11h16m36.05s,169.150206,-04d39m23.6s,-4.656546,79.9999,,,18,10.2,0.91,4542,4.75,,0.51
5,EPIC 201182911.01,,CANDIDATE,11h30m50.50s,172.710419,-04d30m27.4s,-4.507613,0.99656225,,,0.6256,32.8,2.926,3727,,,0.5
6,EPIC 201197348.01,,CANDIDATE,11h48m22.79s,177.094973,-04d09m51.8s,-4.164393,14.912381,,,0.04445,3.55,0.317,4224,,,0.65
7,EPIC 201205469.01,K2-43 b,CONFIRMED,11h16m28.11s,169.117142,-03d58m31.6s,-3.97544,3.47114,,,6.6,4.13,0.368,3939,4.7,,0.57
10,EPIC 201208431.01,K2-4 b,CONFIRMED,11h38m58.95s,174.74564,-03d54m20.1s,-3.905585,10.00617969,,,,,,,,,
13,EPIC 201231940.01,,CANDIDATE,11h36m28.95s,174.120612,-03d28m56.8s,-3.482449,0.57303573,,,0.09028,3.35,0.299,3570,,,0.43
14,EPIC 201238110.01,,CANDIDATE,11h58m49.42s,179.70593,-03d23m21.8s,-3.389389,7.9069606,,,0.04848,3.02,0.269,3772,,,0.52
15,EPIC 201238163.01,,CANDIDATE,11h33m03.07s,173.262802,-03d23m19.6s,-3.388773,1.0829614,,,0.02378,1.56,0.139,3875,,,0.56
16,EPIC 201239401.01,,CANDIDATE,11h32m12.71s,173.052956,-03d22m12.9s,-3.370242,0.90552205,,,0.02628,1.52,0.136,3710,,,0.5
17,EPIC 201247497.01,,CANDIDATE,11h51m47.17s,177.946552,-03d14m46.0s,-3.246116,2.75391,,,7.9,3.78,0.337,3918,4.85,,0.44
20,EPIC 201257461.01,,CANDIDATE,11h52m38.67s,178.161109,-03d05m41.8s,-3.094936,50.285869,,,0.05345,3.47,0.31,4859,,,0.74
21,EPIC 201264302.01,,CANDIDATE,11h18m23.52s,169.598013,-02d59m29.7s,-2.991577,0.212194,83.3,3.6,0.0271,0.77,0.069,3299,5.11,0.155,0.26
23,EPIC 201270176.01,,CANDIDATE,11h20m31.82s,170.132598,-02d54m09.3s,-2.902582,1.57771549,,,,,,,,,
25,EPIC 201270464.01,,CANDIDATE,,,,,1.57771549,,,,,,,,,
26,EPIC 201291843.01,,CANDIDATE,11h53m41.00s,178.420842,-02d34m18.4s,-2.571776,40.70206194,,,,,,,,,
