rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_eccen,koi_fittype,koi_prad,koi_incl,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.48803146,0,MCMC,3.1,85.94,881,142.17,1,5850,4.426,1.04,291.93423,48.141651
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.418464,0,MCMC,3.1,89.95,492,13.86,2,5850,4.426,1.04,291.93423,48.141651
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,19.89913981,0,MCMC,3462.25,80.79,639,39.3,1,5853,4.544,0.868,297.00482,48.134129
4,10848459,K00754.01,,CANDIDATE,CANDIDATE,1.736952479,0,MCMC,34.04,67.61,1404,919.79,1,5795,4.546,0.803,285.53461,48.28521
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,2.525593315,0,MCMC,2.71,89.38,1407,926.16,1,6031,4.438,1.046,288.75488,48.2262
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.09431923,0,MCMC,4.02,89.38,835,114.81,1,6046,4.486,0.972,296.28613,48.22467
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.13443005,0,MCMC,3.02,83.08,1160,427.65,2,6046,4.486,0.972,296.28613,48.22467
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.56659092,0,MCMC,1.56,88.24,1360,807.74,3,6046,4.486,0.972,296.28613,48.22467
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.06862959,0,MCMC,5.27,89.95,571,25.07,1,5126,4.609,0.742,286.99948,48.37579
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613385,0,MCMC,12.85,84.22,1344,772.22,1,5850,4.455,0.95,286.80847,49.316399
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735365,0,MCMC,16.39,89.95,2025,3973.7,1,6350,4.021,1.991,292.24728,47.969521
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498573,0,MCMC,14.83,85.37,1521,1264.67,1,6225,4.169,1.451,281.28812,42.45108
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709213846,0,MCMC,1.24,88.81,1236,552.21,2,5803,4.351,1.073,295.64871,48.49556
17,10480982,K00744.01,,CANDIDATE,CANDIDATE,19.22138615,0,MCMC,51.4,88.24,698,55.97,1,6117,4.496,0.947,295.81454,47.69035
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,9.27358194,0,MCMC,2.52,89.38,649,41.85,1,4856,4.583,0.696,288.13824,47.724449
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,6.029301321,0,MCMC,3.14,89.38,685,52.09,1,4536,4.636,0.693,283.71088,47.86327
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,5.34955671,0,MCMC,2.7,84.22,918,167.93,1,5559,4.572,0.806,292.37613,47.880989
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,3.94104632,0,MCMC,1.59,89.95,1017,252.42,2,5559,4.572,0.806,292.37613,47.880989
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,8.10904671,0,MCMC,1.19,88.81,799,96.38,3,5559,4.572,0.806,292.37613,47.880989
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,21.67697486,0,MCMC,1.54,89.95,430,8.09,1,4722,4.723,0.527,290.46512,47.92918
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,4.99678284,0,MCMC,2.7,88.81,917,166.95,1,5339,4.552,0.847,297.80826,47.946671
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,4.280958588,0,MCMC,2.33,88.24,1014,250.32,1,5641,4.556,0.831,294.26581,49.314091
30,11465813,K00771.01,,CANDIDATE,CANDIDATE,670.645246,0,MCMC,14.41,89.38,196,0.35,,5520,4.466,0.983,296.69861,49.316479
31,11493732,K00772.01,,CANDIDATE,CANDIDATE,61.2563443,0,MCMC,64.23,87.09,505,15.43,1,6144,4.402,1.091,283.72592,49.479519
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,38.3774623,0,MCMC,2.7,89.95,541,20.3,1,5957,4.498,0.971,291.72202,49.480869
